"","artist","title","year","US_chart","UK_chart","US_sales","WW_sales","other_sales","US_percent","other_percent"
"1","Taylor Swift","Taylor Swift","2006","5","81",5.7,NA,NA,NA,NA
"2","Taylor Swift","Fearless","2008","1","5",7.2,12,4.8,59.8,40.2
"3","Taylor Swift","Speak Now","2010","1","6",4.7,5,0.3,93.9,6.1
"4","Taylor Swift","Red","2012","1","1",4.5,6,1.5,74.4,25.6
"5","Taylor Swift","1989","2014","1","1",6.2,10.1,3.9,61.5,38.5
"6","Taylor Swift","Reputation","2017","1","1",2.3,4.5,2.2,51.1,48.9
"7","Taylor Swift","Lover","2019","1","1",1.1,3.2,2.1,33.9,66.1
"8","Taylor Swift","Folklore","2020","1","1",NA,NA,NA,NA,NA
"9","Beyoncé","Dangerously in Love","2003","1","1",5.1,11,5.9,46.4,53.6
"10","Beyoncé","B'Day","2006","1","3",3.6,8,4.4,45.1,54.9
"11","Beyoncé","I Am... Sasha Fierce","2008","1","2",3.4,8,4.6,42.3,57.8
"12","Beyoncé","4","2011","1","1",1.5,NA,NA,NA,NA
"13","Beyoncé","Beyoncé","2013","1","2",2.5,5,2.5,50.2,49.8
"14","Beyoncé","Lemonade","2016","1","1",1.6,2.5,0.9,62.2,37.8
