country,variable,percent,se
Australia,lackstaff,16.961209978684039,1.1801406002720851
Australia,unqualstaff,14.29248255157016,1.3503000943729608
Austria,lackstaff,11.94011801626227,1.9239173024700085
Austria,unqualstaff,9.2836284391792887,2.3273607669926282
Belgium,lackstaff,43.51671507117765,3.0513130253154852
Belgium,unqualstaff,25.51602195284292,2.8988648806189929
Canada,lackstaff,19.42514539139405,1.675039538831014
Canada,unqualstaff,7.1082479343776397,1.2416163326021188
Chile,lackstaff,12.616046181906679,2.6027857099010796
Chile,unqualstaff,18.066461706757032,2.7938760205940238
Colombia,lackstaff,30.629630071134823,2.882450685048819
Colombia,unqualstaff,16.80568008190745,2.6472375247233852
Czech Republic,lackstaff,35.228345901687092,2.8356230831517046
Czech Republic,unqualstaff,19.79166737295424,2.6514036851362075
Denmark,lackstaff,5.3024136515613502,1.2659190216467195
Denmark,unqualstaff,2.48871384564056,0.95029306377460487
Estonia,lackstaff,43.624399752875092,2.0705025334782947
Estonia,unqualstaff,33.214291763607449,2.0054553035458946
Finland,lackstaff,7.3068620491035601,2.1071284092850862
Finland,unqualstaff,6.1595318423113499,1.9097049266302075
France,lackstaff,17.11921899801267,2.579562311070978
France,unqualstaff,11.315194566629309,2.4167731321331574
Germany,lackstaff,56.852162149268494,3.5928977383859766
Germany,unqualstaff,15.57560247413198,2.5391006554767084
Greece,lackstaff,26.278692039471903,3.1156559273069364
Greece,unqualstaff,12.808023108930161,2.3469498028994749
Hungary,lackstaff,33.673462098043785,3.3875649159849788
Hungary,unqualstaff,9.9110637286088004,2.5255924925696145
Iceland,lackstaff,9.9244951221530808,0.18239217979567143
Iceland,unqualstaff,3.7461470535994503,0.12782675593526685
Ireland,lackstaff,44.765538511010348,3.9891161290179022
Ireland,unqualstaff,11.12259898911457,2.6235216677711599
Israel,lackstaff,37.571638267766225,3.4704698320184892
Israel,unqualstaff,33.828521547021161,3.7855132851490692
Italy,lackstaff,22.65377633930596,2.7840205489883902
Italy,unqualstaff,26.270751281529531,2.7919272051157353
Japan,lackstaff,52.828093361330083,3.6651224176352173
Japan,unqualstaff,39.966450726624657,3.3918352217783632
Korea,lackstaff,32.560531248846921,3.3928209886866458
Korea,unqualstaff,17.01885297623236,2.9156786301190714
Latvia,lackstaff,28.23718727810477,1.5938216412914399
Latvia,unqualstaff,10.47177905022677,1.1113444403281665
Lithuania,lackstaff,7.2187483470024905,0.53073689302859972
Lithuania,unqualstaff,3.5861117252045203,0.88230706699027761
Luxembourg,lackstaff,75.339024492084107,9.2271401302410655E-2
Luxembourg,unqualstaff,13.041474130711981,7.783068493977835E-2
Mexico,lackstaff,25.25694398576162,2.298783174670636
Mexico,unqualstaff,8.9544691036218804,1.9429996037922941
Netherlands,lackstaff,35.671694484834617,4.1208614912893262
Netherlands,unqualstaff,23.563152610942289,3.628327004312109
New Zealand,lackstaff,37.159728715564022,3.0789639098351604
New Zealand,unqualstaff,16.39791891417725,2.19663340898212
Norway,lackstaff,11.318379361454619,1.726462787725793
Norway,unqualstaff,4.9762785998316801,1.388851045639854
Poland,lackstaff,2.6442089504059298,1.050684870287794
Poland,unqualstaff,1.1923285022911101,0.67626433466288671
Portugal,lackstaff,31.849736016511148,3.1060463252549608
Portugal,unqualstaff,22.965625802764912,3.0697234277947643
Slovak Republic,lackstaff,11.39182400474564,1.9419897586373986
Slovak Republic,unqualstaff,4.8940269333634197,1.1477141030322158
Slovenia,lackstaff,22.779609839594269,0.5715275480251909
Slovenia,unqualstaff,11.245573900053959,0.23317141269045541
Spain,lackstaff,42.694362702062769,2.3636192346697538
Spain,unqualstaff,22.227067267372639,1.818436947773679
Sweden,lackstaff,30.097163676174631,3.1769961478355917
Sweden,unqualstaff,31.972815947708362,3.0333189582041413
Switzerland,lackstaff,10.961025181087351,2.4520876325216974
Switzerland,unqualstaff,5.0502128966992901,1.4772774019089434
Turkey,lackstaff,14.713178260264451,2.1172346534216269
Turkey,unqualstaff,20.44765433940352,3.1727943077357046
United Kingdom,lackstaff,28.108744797646317,3.131452675395479
United Kingdom,unqualstaff,8.6263372809843109,1.9016192299674564
United States,lackstaff,25.834572849022759,3.5607590077111539
United States,unqualstaff,13.188512379958631,2.1211053616312916
OECD average,lackstaff,27.082557490359939,0.43002898638977011
OECD average,unqualstaff,15.05652090078072,0.37317143114097928
